Column,Data_Type,Data_Description
rr_crm_device_serial_number,String,"Unique serial number for the customer's device (e.g., RKISBDI40368318)."
rr_crm_device_type,String,"Type of device provided to the customer, typically a set-top box (STB) in this context."
rr_crm_customer_activation_date,Datetime,"Date and time when the customer's service was activated (e.g., 08/12/21)."
d_customer_paid_flag,String,"Indicates whether the customer's account is paid (e.g., 'paid', 'migrated')."
crm_offer_id,Float,Unique identifier for the offer given to the customer.
crm_customer_id,Float,Unique identifier for each customer.
crm_city,String,"Name of the city where the customer resides (e.g., Jaipur City, Delhi East)."
crm_district,String,"Administrative district of the city (e.g., Jaipur, East)."
crm_state,String,"State where the city is located (e.g., RJ for Rajasthan, DL for Delhi)."
crm_jio_center_id,String,"Unique identifier for the Jio center associated with the customer (e.g., I265)."
crm_inst_city,String,Installation city for the service (same as crm_city in many cases).
crm_inst_district,String,Installation district for the service (same as crm_district in many cases).
crm_inst_state,String,Installation state for the service (same as crm_state in many cases).
crm_inst_jio_center_id,String,Unique identifier for the Jio center where the service was installed.
crm_circle_id,String,"Circle identifier within the telecom network (e.g., RJ, DL)."
crm_product_status,String,"Status of the product associated with the customer (e.g., '1.0' for an active product)."
crm_product_activation_date,Datetime,"Date and time when the product was activated (e.g., 2021-12-09T13:28:30.000+05:30)."
crm_cust_catg,Float,"Customer category, likely a numeric code representing different customer types."
crm_customer_creation_date,Datetime,Date and time when the customer's record was created in the system.
crm_activation_appointment_date,Datetime,Date and time of the appointment for service activation.
customer_service_id,Float,Unique identifier for the customer's service.
crm_customer_service_id,Float,"Another unique identifier, potentially redundant with customer_service_id."
crm_voice_service_id,String,Unique identifier for the voice service associated with the customer.
crm_service_type,String,"Type of service provided (e.g., Z0005 for a specific service type)."
crm_service_last_modified_date,Datetime,Date and time when the service details were last modified.
crm_msisdn,String,"Mobile Subscriber Integrated Services Digital Network (MSISDN) number, unique to each mobile device (e.g., 778700000000)."
crm_imsi_number,String,"International Mobile Subscriber Identity (IMSI) number, unique to each mobile device (e.g., 778700000000)."
crm_product_name,String,"Name of the product or service provided to the customer (e.g., FTTH for Fiber To The Home)."
